smiles,wxid,subset,reagent_id
Cc1c(-c2ccccc2)nn(C)c1N,AF00007,AF,AF00007_AF
Nc1nc2ccc(Cl)cc2[nH]1,AF00010,AF,AF00010_AF
Cc1cc(N)no1,AF0002,AF,AF0002_AF
CC(C)c1nn(C)c(N)c1Br,AF00038,AF,AF00038_AF
Nc1cccnc1-c1ccc(Cl)cc1,AF00046,AF,AF00046_AF
CC(C)c1nn(C)c(N)c1Cl,AF00060,AF,AF00060_AF
Cn1ccc(N)n1,AF0044,AF,AF0044_AF
CC(C)(C)OC(=O)N1CCc2ncc(N)cc2C1,AF0308,AF,AF0308_AF
Nc1cc[nH]n1,AF2373,AF,AF2373_AF
Cc1cc(N)n[nH]1,AF2553,AF,AF2553_AF
Cc1cnc(N)s1,AF2555,AF,AF2555_AF
Nc1noc2cc(Cl)ccc12,AF3780,AF,AF3780_AF
COC(=O)c1sc(N)cc1C,AF6663,AF,AF6663_AF
Cc1cc(N)n(Cc2cccc(Cl)c2)n1,AF6981,AF,AF6981_AF
Cc1cc(N)on1,AF0001,AF,AF0001_AF
CC(C)(C)n1nc(C2CC2)cc1N,AF00014,AF,AF00014_AF
CC(C)(C)OC(=O)N1Cc2c(n[nH]c2N)C1(C)C,AF00016,AF,AF00016_AF
COC(=O)c1cscc1N,AF00018,AF,AF00018_AF
Nc1nccs1,AF0003,AF,AF0003_AF
Nc1cnn(C2CC2)c1,AF00036,AF,AF00036_AF
Cc1csc(N)n1,AF0004,AF,AF0004_AF
COc1cc2cc(N)cnc2cc1OC,AF00045,AF,AF00045_AF
COC(=O)c1sc2cnccc2c1N,AF00052,AF,AF00052_AF
Cc1cc(N)sn1,AF00073,AF,AF00073_AF
CCOC(=O)Cc1nc(N)sc1C(=O)OCC,AF00075,AF,AF00075_AF
Nc1n[nH]c(Cc2ccccc2)n1,AF00077,AF,AF00077_AF
Nc1ncc(F)s1,AF00078,AF,AF00078_AF
Cc1cc(N)nc(C)n1,AF0008,AF,AF0008_AF
O=C(O)C(=O)O,AF00080,AF,AF00080_AF
Cc1ncn(C)c1N,AF00083,AF,AF00083_AF
Cc1cc(Br)nc(Cl)c1N,AF00085,AF,AF00085_AF
Nc1cccnc1Cl,AF0009,AF,AF0009_AF
COc1ccc(N)cn1,AF0010,AF,AF0010_AF
Nc1ncccc1OCc1ccccc1,AF0012,AF,AF0012_AF
Cc1cccnc1N,AF0013,AF,AF0013_AF
Cc1cc(C)nc(N)c1,AF0015,AF,AF0015_AF
Nc1ccc(Cl)cn1,AF0017,AF,AF0017_AF
Cc1ccc(N)nc1,AF0018,AF,AF0018_AF
Cc1cccc(N)n1,AF0019,AF,AF0019_AF
CCn1nccc1N,AF0025,AF,AF0025_AF
Cc1cc(N)n(-c2ccccc2)n1,AF0026,AF,AF0026_AF
Nc1nccc2ccccc12,AF0027,AF,AF0027_AF
Nc1ccon1,AF0028,AF,AF0028_AF
Nc1ncc(C(F)(F)F)cc1Cl,AF0029,AF,AF0029_AF
Cc1noc(N)c1C,AF0031,AF,AF0031_AF
Cn1nc(C2CC2)cc1N,AF0032,AF,AF0032_AF
Cc1nc(N)ccc1Br,AF0033,AF,AF0033_AF
Cc1cnc(N)c(Br)c1,AF0034,AF,AF0034_AF
CCc1ccc(C)nc1N,AF0037,AF,AF0037_AF
Nc1cccc(Br)n1,AF0038,AF,AF0038_AF
Cc1nsc(N)n1,AF0045,AF,AF0045_AF
CCOC(=O)c1ccsc1N,AF0046,AF,AF0046_AF
Cc1ccc(N)c(C)n1,AF0048,AF,AF0048_AF
Cc1cnccc1N,AF0049,AF,AF0049_AF
Nc1ncccc1Br,AF0053,AF,AF0053_AF
Cc1cc(N)ncc1Br,AF0054,AF,AF0054_AF
Cc1ncccc1N,AF0055,AF,AF0055_AF
Cc1cc(N)nn1C,AF0056,AF,AF0056_AF
Cn1cc(N)cn1,AF0057,AF,AF0057_AF
Nc1cccc2nccn12,AF0058,AF,AF0058_AF
Cc1cnc(C)c(N)n1,AF0061,AF,AF0061_AF
Nc1ccc2ccccc2n1,AF0062,AF,AF0062_AF
Nc1nc2ccccc2s1,AF0063,AF,AF0063_AF
COc1ncc(N)cc1Br,AF0065,AF,AF0065_AF
COc1cc(Br)cnc1N,AF0066,AF,AF0066_AF
Nc1ncc(Cl)cc1Br,AF0067,AF,AF0067_AF
Nc1ncc(Br)cc1Cl,AF0068,AF,AF0068_AF
COC(=O)c1sc(-c2ccccc2)cc1N,AF0071,AF,AF0071_AF
Cc1cc(N)n(C)n1,AF0073,AF,AF0073_AF
Cc1ccncc1N,AF0075,AF,AF0075_AF
Cc1ccc(N)cn1,AF0076,AF,AF0076_AF
Cc1cncc(N)n1,AF0077,AF,AF0077_AF
Nc1nc(C2CC2)cs1,AF0080,AF,AF0080_AF
COc1ncccc1N,AF0081,AF,AF0081_AF
Cn1ncnc1N,AF0083,AF,AF0083_AF
Nc1cncnc1,AF0085,AF,AF0085_AF
Cn1cnc(N)c1,AF0086,AF,AF0086_AF
Nc1nnco1,AF0087,AF,AF0087_AF
Cc1nnc(N)o1,AF0088,AF,AF0088_AF
N#Cc1c(N)sc2c1CCCC2,AF0091,AF,AF0091_AF
Cc1csc(N)c1C#N,AF0092,AF,AF0092_AF
Cc1noc(N)c1C#N,AF0095,AF,AF0095_AF
Nc1cn[nH]c1,AF0097,AF,AF0097_AF
Nc1noc2cccnc12,AF0098,AF,AF0098_AF
Cc1cnc(N)cn1,AF0099,AF,AF0099_AF
Nc1nc(-c2ccncc2)cs1,AF0101,AF,AF0101_AF
